index,小区名称,所在区域,总价,总价单位,单价,单价单位,房屋年代,户型,楼层,建筑面积,房屋朝向,装修情况,梯户比例,配备电梯,产权年限
2210,新纪元公寓,西城 广安门 二至三环,960,万,78445,元/平米,1998年建/塔楼,2室1厅1厨1卫,顶层 (共21层),122.38㎡,西北,简装,两梯七户,有,70年
2211,南线里小区,西城 牛街 二环内,535,万,93287,元/平米,1998年建/塔楼,1室1厅1厨1卫,低楼层 (共22层),57.35㎡,西,其他,两梯十户,有,70年
2212,平原里小区,西城 牛街 二环内,435,万,70986,元/平米,1998年建/板塔结合,2室1厅1厨1卫,地下室 (共6层),61.28㎡,南 北,精装,一梯两户,无,70年
2213,锦上国际公寓,西城 长椿街 二环内,550,万,87972,元/平米,2007年建/塔楼,1室1厅1厨1卫,高楼层 (共16层),62.52㎡,南,精装,五梯二十五户,有,70年
2214,双旗杆东里,西城 马甸 二至三环,699,万,146235,元/平米,1995年建/塔楼,1室1厅1厨1卫,低楼层 (共18层),47.8㎡,南,精装,两梯十户,有,70年
2215,南礼士路三条北里,西城 月坛 二至三环,650,万,113044,元/平米,1985年建/板楼,2室1厅1厨1卫,高楼层 (共6层),57.5㎡,南 北,简装,一梯四户,无,70年
2216,北安里9号院,西城 西单 二环内,580,万,158905,元/平米,1984年建/板楼,1室1厅1厨1卫,顶层 (共6层),36.5㎡,南,其他,一梯三户,无,70年
2217,展览路,西城 阜成门 二至三环,830,万,95733,元/平米,1956年建/板楼,3室1厅1厨1卫,中楼层 (共4层),86.7㎡,东 西,简装,一梯四户,无,70年
2218,月坛北小街,西城 月坛 二至三环,615,万,119418,元/平米,1980年建/板楼,2室1厅1厨1卫,顶层 (共6层),51.5㎡,东,其他,一梯三户,暂无数据,70年
2219,真武庙,西城 木樨地 二至三环,850,万,139345,元/平米,1982年建/板楼,2室1厅1厨1卫,顶层 (共6层),61㎡,南 北,其他,一梯三户,无,70年
2220,华远北街,西城 金融街 二环内,928,万,133143,元/平米,2001年建/板塔结合,2室2厅1厨1卫,中楼层 (共17层),69.7㎡,南 北,精装,两梯七户,有,70年
2221,复兴门外大街,西城 木樨地 二至三环,780,万,117294,元/平米,1984年建/板塔结合,2室1厅1厨1卫,中楼层 (共10层),66.5㎡,东,精装,两梯十户,有,70年
2222,新外大街10号院,西城 马甸 二至三环,850,万,127628,元/平米,1980年建/板楼,2室1厅1厨1卫,中楼层 (共5层),66.6㎡,南 北,精装,一梯三户,无,70年
2223,长椿街12号院,西城 长椿街 二环内,920,万,108032,元/平米,2000年建/板楼,2室1厅1厨1卫,低楼层 (共12层),85.16㎡,东 西,精装,一梯三户,暂无数据,70年
2224,太平桥大街,西城 金融街 二环内,648,万,145618,元/平米,1989年建/板塔结合,1室1厅1厨1卫,低楼层 (共16层),44.5㎡,东,精装,两梯八户,有,70年
2225,三义里,西城 马连道 二至三环,471,万,93139,元/平米,1980年建/板楼,2室1厅1厨1卫,高楼层 (共6层),50.57㎡,南,简装,一梯三户,无,70年
2226,东斜街,西城 西单 二环内,900,万,149751,元/平米,1990年建/板楼,2室1厅1厨1卫,中楼层 (共6层),60.1㎡,南 北,精装,一梯三户,无,70年
2227,朗琴园,西城 广安门 二至三环,1900,万,103060,元/平米,2002年建/塔楼,4室1厅1厨2卫,高楼层 (共29层),184.36㎡,西南,精装,两梯八户,有,70年
2228,西豪逸景,西城 广安门 二至三环,910,万,93363,元/平米,2004年建/塔楼,2室1厅1厨1卫,高楼层 (共28层),97.47㎡,东,精装,三梯十二户,有,70年
2229,车站西街,西城 广安门 二至三环,545,万,94668,元/平米,1993年建/板楼,2室1厅1厨1卫,顶层 (共6层),57.57㎡,南 北,精装,一梯两户,无,70年
2230,广义街10号院,西城 长椿街 二环内,1197,万,105047,元/平米,1997年建/板楼,2室2厅1厨1卫,中楼层 (共6层),113.95㎡,南 北,精装,一梯两户,无,70年
2231,建功东里,西城 右安门内 二环内,530,万,89694,元/平米,1984年建/板楼,2室1厅1厨1卫,高楼层 (共6层),59.09㎡,南 北,简装,一梯三户,无,70年
2232,牛街西里,西城 牛街 二环内,510,万,92778,元/平米,2003年建/塔楼,1室1厅1厨1卫,高楼层 (共20层),54.97㎡,南,精装,三梯十二户,有,70年
2233,红莲中里,西城 马连道 二至三环,635,万,90598,元/平米,1985年建/塔楼,2室1厅1厨1卫,中楼层 (共18层),70.09㎡,南 北,简装,两梯七户,有,70年
2234,中信沁园,西城 陶然亭 二环内,1235,万,128232,元/平米,2011年建/板塔结合,2室1厅1厨1卫,低楼层 (共20层),96.31㎡,东 西,其他,两梯四户,有,70年
2235,牛街东里,西城 牛街 二环内,650,万,80020,元/平米,1999年建/塔楼,2室1厅1厨1卫,底层 (共20层),81.23㎡,西北,精装,三梯十二户,有,70年
2236,红莲南里,西城 马连道 二至三环,450,万,89642,元/平米,1984年建/板楼,2室1厅1厨1卫,中楼层 (共6层),50.2㎡,南,精装,一梯三户,无,70年
2237,永乐里10号院,西城 右安门内 二环内,590,万,102165,元/平米,1984年建/板楼,2室1厅1厨1卫,中楼层 (共6层),57.75㎡,东 西,其他,一梯两户,暂无数据,70年
2238,红居街10号院,西城 广安门 二至三环,820,万,116910,元/平米,1997年建/塔楼,2室1厅1厨1卫,顶层 (共18层),70.14㎡,南,简装,两梯七户,有,70年
2239,茗筑,西城 马连道 二至三环,820,万,78312,元/平米,2008年建/塔楼,2室1厅1厨1卫,中楼层 (共27层),104.71㎡,东南,精装,三梯九户,有,70年
2240,宣武门外东大街,西城 宣武门 二环内,710,万,131555,元/平米,1970年建/板楼,3室1厅1厨1卫,顶层 (共11层),53.97㎡,南 北,其他,一梯六户,有,70年
2241,裕中东里,西城 马甸 三至四环,718,万,169740,元/平米,1983年建/板楼,1室1厅1厨1卫,高楼层 (共6层),42.3㎡,南,精装,一梯三户,无,70年
2242,复兴门外大街,西城 木樨地 二至三环,650,万,127451,元/平米,1979年建/板塔结合,2室0厅1厨1卫,中楼层 (共12层),51㎡,南,精装,两梯十三户,有,70年
2243,新壁街,西城 西单 二环内,670,万,132203,元/平米,2004年建/板楼,2室1厅1厨1卫,低楼层 (共6层),50.68㎡,南,其他,一梯四户,无,70年
2244,裕中东里,西城 马甸 三至四环,890,万,160072,元/平米,1983年建/板楼,2室1厅1厨1卫,底层 (共6层),55.6㎡,南 北,其他,一梯三户,无,70年
2245,展览路,西城 阜成门 二至三环,700,万,107198,元/平米,1989年建/板塔结合,2室1厅1厨1卫,中楼层 (共10层),65.3㎡,南 北,简装,一梯六户,有,70年
2246,醋章胡同,西城 牛街 二环内,980,万,92184,元/平米,1997年建/板楼,3室2厅1厨2卫,高楼层 (共6层),106.31㎡,南 北,精装,一梯三户,无,70年
2247,信德园,西城 菜户营 二至三环,750,万,69645,元/平米,2002年建/塔楼,2室2厅1厨1卫,低楼层 (共21层),107.69㎡,西南,简装,两梯八户,有,70年
2248,月坛西街乙2号院,西城 月坛 二至三环,930,万,116542,元/平米,1990年建/塔楼,3室1厅1厨1卫,底层 (共18层),79.8㎡,东南,简装,两梯八户,有,70年
2249,羊肉胡同120号院,西城 金融街 二环内,650,万,149083,元/平米,1990年建/板楼,1室1厅1厨1卫,高楼层 (共6层),43.6㎡,南,精装,一梯四户,无,70年
2250,半步桥13号院,西城 右安门内 二环内,495,万,125064,元/平米,1990年建/板楼,1室1厅1厨1卫,高楼层 (共6层),39.58㎡,南,其他,一梯三户,无,70年
2251,南露园,西城 阜成门 二至三环,698,万,112945,元/平米,1994年建/板楼,1室1厅1厨1卫,低楼层 (共6层),61.8㎡,东,简装,一梯四户,无,70年
2252,陶然北岸,西城 陶然亭 二环内,1485,万,131755,元/平米,2004年建/板塔结合,2室1厅1厨2卫,中楼层 (共18层),112.71㎡,南 北,简装,两梯三户,有,70年
2253,真武庙二里,西城 木樨地 二至三环,620,万,123016,元/平米,1978年建/板楼,2室0厅1厨1卫,顶层 (共4层),50.4㎡,东,其他,一梯三户,无,70年
2254,庄胜商住楼,西城 宣武门 二环内,1170,万,129799,元/平米,1999年建/板塔结合,1室1厅1厨1卫,中楼层 (共9层),90.14㎡,南 北,简装,两梯二十四户,有,70年
2255,北广家园,西城 六铺炕 二至三环,1500,万,107806,元/平米,2005年建/板塔结合,2室1厅1厨2卫,中楼层 (共16层),139.14㎡,东 北,毛坯,两梯四户,有,70年
2256,手帕口北街,西城 广安门 二至三环,583,万,94983,元/平米,1980年建/板楼,2室1厅1厨1卫,低楼层 (共6层),61.38㎡,东,简装,一梯三户,无,70年
2257,新安中里,西城 右安门内 二环内,830,万,100546,元/平米,2004年建/板楼,3室1厅1厨2卫,高楼层 (共7层),82.55㎡,南 北,精装,一梯两户,无,70年
2258,六铺炕二区,西城 六铺炕 二至三环,765,万,126238,元/平米,1981年建/板楼,2室1厅1厨1卫,顶层 (共6层),60.6㎡,南 北,简装,一梯四户,无,70年
2259,北纬路49号院,西城 陶然亭 二环内,970,万,107778,元/平米,未知年建/暂无数据,3室1厅1厨1卫,底层 (共1层),90㎡,南 北,其他,一梯一户,暂无数据,70年
2260,百万庄中里,西城 阜成门 二至三环,645,万,113357,元/平米,1985年建/板楼,2室1厅1厨1卫,顶层 (共6层),56.9㎡,东 西,其他,一梯两户,无,70年
2261,永乐里10号院,西城 右安门内 二环内,575,万,105428,元/平米,1984年建/板楼,2室1厅1厨1卫,中楼层 (共6层),54.54㎡,南 北,其他,一梯十五户,暂无数据,70年
2262,万明园,西城 月坛 二至三环,530,万,123256,元/平米,1992年建/板楼,1室1厅1厨1卫,底层 (共6层),43㎡,南,精装,一梯四户,无,70年
2263,丽水莲花,西城 广安门 二至三环,760,万,84492,元/平米,2009年建/塔楼,2室1厅1厨1卫,高楼层 (共24层),89.95㎡,东北,简装,两梯四户,有,70年
2264,远见名苑,西城 广安门 二至三环,796,万,104972,元/平米,2004年建/塔楼,2室1厅1厨1卫,中楼层 (共26层),75.83㎡,西南 北,其他,三梯十四户,有,70年
2265,虎坊路小区,西城 陶然亭 二环内,462,万,91431,元/平米,1965年建/板楼,2室1厅1厨1卫,底层 (共5层),50.53㎡,南 北,其他,一梯四户,无,70年
2266,马连道西里,西城 马连道 二至三环,780,万,84517,元/平米,1996年建/板楼,2室1厅1厨1卫,底层 (共6层),92.29㎡,南 北,简装,一梯两户,无,70年
2267,荣丰2008,西城 广安门 二至三环,386,万,89043,元/平米,2004年建/塔楼,1室0厅1厨1卫,低楼层 (共20层),43.35㎡,南,精装,四梯三十九户,有,70年
2268,鸭子桥北里,西城 天宁寺 二至三环,1060,万,87734,元/平米,1998年建/板楼,3室2厅1厨2卫,中楼层 (共6层),120.82㎡,南 北,其他,一梯两户,无,70年
2269,宣武门外西里,西城 宣武门 二环内,649,万,106202,元/平米,1973年建/板楼,2室1厅1厨1卫,高楼层 (共6层),61.11㎡,南 北,精装,一梯三户,无,70年
2270,六铺炕三区,西城 六铺炕 二至三环,883,万,141055,元/平米,1999年建/板塔结合,1室1厅1厨1卫,中楼层 (共12层),62.6㎡,南,简装,两梯三户,有,70年
2271,塔院胡同12号院,西城 六铺炕 二至三环,795,万,138021,元/平米,1988年建/板楼,2室1厅1厨1卫,顶层 (共6层),57.6㎡,南 北,其他,一梯两户,无,70年
2272,羊肉胡同120号院,西城 金融街 二环内,610,万,146988,元/平米,1990年建/板楼,1室1厅1厨1卫,高楼层 (共6层),41.5㎡,南,精装,一梯四户,无,70年
2273,白云观,西城 木樨地 二至三环,760,万,131488,元/平米,1976年建/板楼,2室1厅1厨1卫,中楼层 (共5层),57.8㎡,南 北,精装,一梯三户,无,70年
2274,新兴中巷,西城 西直门 二至三环,630,万,102606,元/平米,1994年建/板楼,2室1厅1厨1卫,顶层 (共6层),61.4㎡,南 北,简装,一梯两户,无,70年
2275,二七剧场路,西城 月坛 二至三环,737,万,124916,元/平米,1987年建/塔楼,2室1厅1厨1卫,低楼层 (共23层),59㎡,东 西南,简装,两梯十三户,有,70年
2276,牛街西里,西城 牛街 二环内,518,万,89822,元/平米,1999年建/塔楼,1室1厅1厨1卫,底层 (共19层),57.67㎡,西南,其他,三梯十二户,有,70年
2277,六铺炕二区,西城 六铺炕 二至三环,800,万,137387,元/平米,1958年建/板楼,2室1厅1厨1卫,顶层 (共3层),58.23㎡,南,其他,一梯三户,无,70年
2278,北露园,西城 阜成门 二至三环,495,万,125000,元/平米,1993年建/板楼,1室1厅1厨1卫,中楼层 (共6层),39.6㎡,南,精装,一梯六户,无,70年
2279,车站西街1号院,西城 广安门 二至三环,520,万,78776,元/平米,2006年建/板塔结合,2室1厅1厨1卫,高楼层 (共8层),66.01㎡,北,精装,两梯十二户,有,70年
2280,西直门外南路21号院,西城 车公庄 二至三环,535,万,103342,元/平米,1992年建/板楼,1室1厅1厨1卫,顶层 (共6层),51.77㎡,南 北,精装,一梯两户,无,70年
2281,远见名苑,西城 广安门 二至三环,835,万,101164,元/平米,2004年建/板塔结合,2室1厅1厨1卫,低楼层 (共20层),82.54㎡,东,其他,两梯七户,有,70年
2282,月坛南街小四道口,西城 月坛 二至三环,654,万,133388,元/平米,1994年建/板楼,1室1厅1厨1卫,中楼层 (共6层),49.03㎡,南,其他,一梯三户,无,70年
2283,法源寺西里小区,西城 牛街 二环内,690,万,98586,元/平米,1998年建/板楼,2室1厅1厨1卫,高楼层 (共6层),69.99㎡,南 北,精装,一梯六户,无,70年
2284,荣丰2008,西城 广安门 二至三环,330,万,128156,元/平米,2004年建/塔楼,1室0厅1厨1卫,中楼层 (共20层),25.75㎡,北,精装,四梯三十九户,有,70年
2285,真武庙,西城 木樨地 二至三环,710,万,125887,元/平米,1992年建/板楼,2室1厅1厨1卫,中楼层 (共7层),56.4㎡,南 北,精装,一梯两户,无,70年
2286,白纸坊西街,西城 右安门内 二环内,660,万,90152,元/平米,1982年建/塔楼,3室1厅1厨1卫,中楼层 (共16层),73.21㎡,东北,简装,两梯八户,有,70年
2287,虎坊路小区,西城 陶然亭 二环内,600,万,106365,元/平米,1955年建/板楼,2室1厅1厨1卫,中楼层 (共4层),56.41㎡,南 北,其他,一梯三户,无,70年
2288,南礼士路甲62号院,西城 月坛 二至三环,750,万,129088,元/平米,1980年建/板楼,2室1厅1厨1卫,中楼层 (共6层),58.1㎡,东 西,其他,一梯三户,无,70年
2289,西便门外大街,西城 木樨地 二至三环,1000,万,101730,元/平米,1955年建/板楼,3室1厅1厨1卫,底层 (共4层),98.3㎡,东,其他,一梯三户,无,70年
2290,中信禧园,西城 陶然亭 二环内,1046,万,148940,元/平米,2013年建/板塔结合,1室1厅1厨1卫,中楼层 (共20层),70.23㎡,西,其他,两梯四户,有,70年
2291,城市之光,西城 牛街 二环内,620,万,74484,元/平米,1997年建/塔楼,2室1厅1厨1卫,顶层 (共16层),83.24㎡,北,简装,三梯十户,有,70年
2292,铁二区,西城 月坛 二至三环,923,万,128731,元/平米,1991年建/塔楼,2室1厅1厨1卫,底层 (共18层),71.7㎡,西南,其他,两梯十户,有,70年
2293,月坛北街,西城 月坛 二至三环,600,万,118812,元/平米,1973年建/板楼,2室1厅1厨1卫,顶层 (共4层),50.5㎡,东,精装,一梯三户,无,70年
2294,天安国汇,西城 西单 二环内,1700,万,98244,元/平米,2008年建/塔楼,2室2厅1厨2卫,中楼层 (共17层),173.04㎡,西北,精装,六梯十四户,有,70年
2295,牛街东里,西城 牛街 二环内,535,万,93893,元/平米,1999年建/塔楼,1室1厅1厨1卫,中楼层 (共20层),56.98㎡,东南,其他,三梯十二户,有,70年
2296,天桥北里,西城 陶然亭 二环内,750,万,89499,元/平米,2002年建/板楼,2室1厅1厨1卫,中楼层 (共7层),83.8㎡,东,其他,一梯四户,无,70年
2297,富国里小区,西城 官园 二环内,725,万,140233,元/平米,1998年建/板楼,1室1厅1厨1卫,底层 (共5层),51.7㎡,南 北,其他,一梯三户,无,70年
2298,真武庙三里,西城 木樨地 二至三环,658,万,123685,元/平米,1976年建/板楼,2室1厅1厨1卫,中楼层 (共6层),53.2㎡,东,简装,一梯三户,无,70年
2299,三义西里,西城 马连道 二至三环,495,万,90527,元/平米,1980年建/板楼,2室1厅1厨1卫,顶层 (共5层),54.68㎡,南 北,简装,一梯三户,无,70年
2300,裕中东里,西城 马甸 三至四环,855,万,148438,元/平米,1990年建/塔楼,1室1厅1厨1卫,高楼层 (共16层),57.6㎡,南,其他,两梯八户,有,70年
2301,永乐里10号院,西城 右安门内 二环内,680,万,97408,元/平米,1984年建/板楼,3室1厅1厨1卫,顶层 (共6层),69.81㎡,东 南 西,其他,一梯三户,暂无数据,70年
2302,新风南里,西城 马甸 二至三环,980,万,130842,元/平米,1992年建/板楼,2室1厅1厨1卫,顶层 (共6层),74.9㎡,东南,其他,一梯四户,无,70年
2303,儒福里,西城 陶然亭 二环内,640,万,116917,元/平米,1993年建/板楼,1室1厅1厨1卫,底层 (共5层),54.74㎡,东 西,精装,一梯两户,无,70年
2304,益民巷,西城 牛街 二环内,570,万,68601,元/平米,1950年建/板楼,2室1厅1厨1卫,中楼层 (共6层),83.09㎡,东 西,其他,一梯四户,暂无数据,70年
2305,百万庄丑区,西城 阜成门 二至三环,598,万,99171,元/平米,1954年建/板楼,2室1厅1厨1卫,低楼层 (共3层),60.3㎡,东 西 北,毛坯,一梯两户,暂无数据,70年
2306,平原里小区,西城 牛街 二环内,528,万,119350,元/平米,1998年建/板楼,1室1厅1厨1卫,低楼层 (共6层),44.24㎡,南,简装,一梯三户,无,70年
2307,砖塔胡同78号院,西城 金融街 二环内,633,万,101933,元/平米,1958年建/板楼,2室1厅1厨1卫,顶层 (共4层),62.1㎡,西北,其他,一梯四户,无,70年
2308,大钱市胡同,西城 西直门 二至三环,610,万,109713,元/平米,1993年建/塔楼,2室1厅1厨1卫,高楼层 (共16层),55.6㎡,西北,简装,两梯七户,有,70年
2309,西豪逸景,西城 广安门 二至三环,660,万,90847,元/平米,2002年建/塔楼,2室1厅1厨1卫,高楼层 (共28层),72.65㎡,西,其他,三梯十三户,有,70年
2310,丽水莲花,西城 广安门 二至三环,988,万,95579,元/平米,2009年建/板塔结合,2室1厅1厨1卫,高楼层 (共20层),103.37㎡,西北,精装,两梯八户,有,70年
2311,中信锦园,西城 陶然亭 二环内,1420,万,147518,元/平米,2009年建/板塔结合,2室1厅1厨1卫,高楼层 (共18层),96.26㎡,南 北,简装,两梯四户,有,70年
2312,湾子街社区,西城 太平桥 二至三环,410,万,90229,元/平米,1991年建/板楼,1室1厅1厨1卫,低楼层 (共6层),45.44㎡,东 西,精装,一梯两户,无,70年
2313,红莲北里,西城 马连道 二至三环,620,万,100912,元/平米,1986年建/板楼,2室1厅1厨1卫,中楼层 (共6层),61.44㎡,南 北,其他,一梯三户,无,70年
2314,德宝新园,西城 西直门 二至三环,618,万,103345,元/平米,1992年建/板楼,2室1厅1厨1卫,顶层 (共6层),59.8㎡,东,其他,一梯十四户,无,70年
2315,锦上国际公寓,西城 长椿街 二环内,490,万,75887,元/平米,2007年建/塔楼,1室1厅1厨1卫,底层 (共16层),64.57㎡,北,精装,五梯二十五户,有,70年
2316,永乐里10号院,西城 右安门内 二环内,680,万,108402,元/平米,1984年建/板楼,3室1厅1厨1卫,顶层 (共6层),62.73㎡,南 北,其他,一梯三户,暂无数据,70年
2317,白云观,西城 木樨地 二至三环,800,万,129871,元/平米,1980年建/板楼,2室1厅1厨1卫,底层 (共6层),61.6㎡,南 北,其他,一梯三户,无,70年
2318,富国里小区,西城 官园 二环内,1050,万,131415,元/平米,1996年建/板楼,1室1厅1厨1卫,中楼层 (共5层),79.9㎡,东北,简装,一梯三户,无,70年
2319,建功北里,西城 白纸坊 二环内,485,万,99651,元/平米,1996年建/板楼,1室1厅1厨1卫,高楼层 (共6层),48.67㎡,南,简装,一梯三户,无,70年
2320,月坛西街东里22号院,西城 月坛 二至三环,608,万,147216,元/平米,1985年建/板楼,1室1厅1厨1卫,中楼层 (共6层),41.3㎡,南,其他,一梯三户,无,70年
2321,木樨地,西城 木樨地 二至三环,800,万,115274,元/平米,1996年建/塔楼,2室1厅1厨1卫,中楼层 (共18层),69.4㎡,西北,精装,一梯八户,有,70年
2322,展览路,西城 阜成门 二至三环,550,万,123319,元/平米,1994年建/板楼,1室1厅1厨1卫,中楼层 (共7层),44.6㎡,南 北,简装,一梯两户,无,70年
2323,马连道中里,西城 马连道 二至三环,650,万,101642,元/平米,1995年建/塔楼,2室1厅1厨1卫,高楼层 (共18层),63.95㎡,东南,精装,两梯八户,有,70年
2324,北露园,西城 阜成门 二至三环,385,万,96250,元/平米,1993年建/板楼,1室1厅1厨1卫,地下室 (共6层),40㎡,西,其他,一梯三户,无,70年
2325,北广家园,西城 六铺炕 二至三环,1260,万,148306,元/平米,2005年建/板塔结合,2室1厅1厨1卫,高楼层 (共17层),84.96㎡,南 北,其他,一梯四户,有,70年
2326,真武庙,西城 木樨地 二至三环,850,万,126301,元/平米,1980年建/板楼,3室1厅1厨1卫,中楼层 (共6层),67.3㎡,东 南 西,精装,一梯两户,无,70年
2327,马甸南村,西城 马甸 二至三环,710,万,152035,元/平米,1987年建/板楼,1室1厅1厨1卫,中楼层 (共7层),46.7㎡,南,简装,一梯三户,无,70年
2328,红居南街,西城 广安门 二至三环,445,万,95045,元/平米,1995年建/板楼,1室1厅1厨1卫,高楼层 (共6层),46.82㎡,南 北,简装,一梯三户,无,70年
2329,荣丰2008,西城 广安门 二至三环,373,万,97747,元/平米,2006年建/塔楼,1室0厅1厨1卫,高楼层 (共26层),38.16㎡,北,精装,三梯二十七户,有,70年
2330,华仁路小区,西城 陶然亭 二环内,520,万,90294,元/平米,1976年建/板楼,3室0厅1厨1卫,高楼层 (共6层),57.59㎡,南 北,其他,一梯三户,无,70年
2331,常青藤嘉园,西城 马连道 二至三环,590,万,92987,元/平米,2005年建/板楼,1室1厅1厨1卫,高楼层 (共16层),63.45㎡,南,其他,两梯六户,有,70年
2332,信和嘉园,西城 马连道 二至三环,988,万,110527,元/平米,2006年建/板塔结合,2室1厅1厨1卫,低楼层 (共18层),89.39㎡,东南,简装,两梯五户,有,70年
2333,清芷园,西城 右安门内 二环内,880,万,121063,元/平米,2003年建/板塔结合,1室1厅1厨1卫,中楼层 (共18层),72.69㎡,南 北,简装,两梯七户,有,70年
2334,新明胡同,西城 马甸 二至三环,710,万,147303,元/平米,1991年建/塔楼,1室1厅1厨1卫,中楼层 (共18层),48.2㎡,南,其他,两梯七户,有,70年
2335,安德路,西城 六铺炕 二至三环,700,万,160551,元/平米,1979年建/板楼,2室1厅1厨1卫,中楼层 (共5层),43.6㎡,南,精装,一梯三户,无,70年
2336,教场口6号院,西城 六铺炕 二至三环,840,万,139651,元/平米,2003年建/板楼,1室1厅1厨1卫,中楼层 (共6层),60.15㎡,南 北,简装,一梯两户,无,70年
2337,复兴门外大街,西城 木樨地 二至三环,890,万,139281,元/平米,1982年建/板塔结合,2室1厅1厨1卫,中楼层 (共12层),63.9㎡,南 北,其他,两梯十八户,有,70年
2338,地藏庵,西城 月坛 二至三环,860,万,110540,元/平米,1955年建/板楼,3室1厅1厨1卫,中楼层 (共4层),77.8㎡,南 北,其他,一梯四户,无,70年
2339,北礼士路62号院,西城 阜成门 二至三环,568,万,121368,元/平米,1996年建/板楼,1室1厅1厨1卫,中楼层 (共6层),46.8㎡,西,精装,一梯六户,无,70年
2340,教场口6号院,西城 六铺炕 二至三环,819,万,144931,元/平米,2003年建/板楼,1室1厅1厨1卫,底层 (共6层),56.51㎡,东,其他,一梯五户,无,70年
2341,槐柏树街南里,西城 长椿街 二环内,560,万,93287,元/平米,1992年建/板楼,2室1厅1厨1卫,中楼层 (共6层),60.03㎡,东 西,其他,一梯两户,无,70年
2342,车站东街甲9号院,西城 天宁寺 二至三环,600,万,112889,元/平米,1995年建/板楼,2室1厅1厨1卫,高楼层 (共6层),53.15㎡,南,简装,一梯三户,无,70年
2343,平原里小区,西城 牛街 二环内,668,万,99553,元/平米,2000年建/板楼,2室1厅1厨1卫,高楼层 (共12层),67.1㎡,南 北,简装,两梯两户,有,70年
2344,西便门西里,西城 木樨地 二至三环,620,万,113950,元/平米,1984年建/板楼,2室1厅1厨1卫,中楼层 (共6层),54.41㎡,南 北,其他,一梯两户,无,70年
2345,三里河一区5号院,西城 月坛 二至三环,1896,万,169756,元/平米,2004年建/塔楼,3室1厅1厨2卫,高楼层 (共19层),111.69㎡,西南,精装,两梯十二户,有,70年
2346,马甸南村,西城 马甸 二至三环,930,万,142420,元/平米,1992年建/板楼,2室1厅1厨1卫,高楼层 (共6层),65.3㎡,南 西 北,精装,一梯两户,无,70年
2347,三里河一区3号院,西城 月坛 二至三环,1260,万,165138,元/平米,1999年建/塔楼,2室1厅1厨1卫,低楼层 (共18层),76.3㎡,东南,精装,两梯十二户,有,70年
2348,西便门西里,西城 木樨地 二至三环,890,万,109136,元/平米,1983年建/塔楼,3室1厅1厨1卫,中楼层 (共16层),81.55㎡,西北,简装,两梯七户,有,70年
2349,新开胡同,西城 六铺炕 二环内,830,万,145360,元/平米,1978年建/板楼,3室1厅1厨1卫,顶层 (共5层),57.1㎡,南 北,简装,一梯三户,暂无数据,70年
2350,红土店南里,西城 陶然亭 二环内,760,万,110225,元/平米,1962年建/板楼,2室1厅1厨1卫,顶层 (共5层),68.95㎡,南 北,其他,一梯三户,无,70年
2351,天桥南里,西城 陶然亭 二环内,550,万,106322,元/平米,2002年建/板楼,2室1厅1厨1卫,高楼层 (共7层),51.73㎡,西,简装,一梯五户,无,70年
2352,马连道北街,西城 马连道 二至三环,500,万,98329,元/平米,1987年建/板楼,2室1厅1厨1卫,高楼层 (共6层),50.85㎡,东南,毛坯,一梯五户,无,70年
2353,东南园,西城 宣武门 二环内,570,万,115525,元/平米,1991年建/板楼,2室1厅1厨1卫,底层 (共3层),49.34㎡,南 北,其他,一梯八户,无,70年
2354,月坛南街19号院,西城 月坛 二至三环,610,万,140230,元/平米,1992年建/板塔结合,1室1厅1厨1卫,高楼层 (共14层),43.5㎡,南 北,简装,两梯二十户,有,70年
2355,小石桥胡同3号院,西城 六铺炕 二环内,810,万,149447,元/平米,1983年建/板楼,2室1厅1厨1卫,中楼层 (共6层),54.2㎡,南,精装,一梯三户,无,70年
2356,长安兴融中心,西城 金融街 二环内,830,万,153590,元/平米,2005年建/板塔结合,1室1厅1厨1卫,低楼层 (共14层),54.04㎡,北,其他,六梯十九户,有,70年
2357,常青藤嘉园,西城 马连道 二至三环,540,万,86111,元/平米,2004年建/板楼,1室1厅1厨1卫,底层 (共16层),62.71㎡,南,简装,两梯六户,有,70年
2358,贵仁居,西城 牛街 二环内,900,万,105461,元/平米,2007年建/塔楼,1室1厅1厨1卫,中楼层 (共18层),85.34㎡,东南 东北,其他,三梯十一户,有,70年
2359,白云观,西城 木樨地 二至三环,820,万,120235,元/平米,1991年建/板楼,2室1厅1厨1卫,中楼层 (共6层),68.2㎡,南 北,简装,一梯四户,无,70年
2360,月坛西街乙2号院,西城 月坛 二至三环,651,万,149656,元/平米,1990年建/塔楼,1室1厅1厨1卫,低楼层 (共18层),43.5㎡,南 北,其他,两梯八户,有,70年
2361,德胜置业,西城 六铺炕 二至三环,910,万,79972,元/平米,2005年建/板楼,1室1厅1厨1卫,中楼层 (共20层),113.79㎡,北,简装,三梯九户,有,70年
2362,锦上国际公寓,西城 长椿街 二环内,650,万,72634,元/平米,2007年建/塔楼,1室1厅1厨1卫,底层 (共16层),89.49㎡,北,精装,五梯二十五户,有,70年
2363,新纪元公寓,西城 广安门 二至三环,920,万,75176,元/平米,1998年建/塔楼,2室2厅1厨1卫,中楼层 (共21层),122.38㎡,西北,精装,两梯七户,有,70年
