index,小区名称,所在区域,总价,总价单位,单价,单价单位,房屋年代,户型,楼层,建筑面积,房屋朝向,装修情况,梯户比例,配备电梯,产权年限
791,阳光丽景,西城 马甸 二至三环,1760,万,157439,元/平米,2003年建/塔楼,2室1厅1厨2卫,中楼层 (共19层),111.79㎡,东南,精装,两梯八户,有,70年
792,裕中西里,西城 马甸 三至四环,998,万,129443,元/平米,1989年建/板楼,3室1厅1厨1卫,高楼层 (共6层),77.1㎡,南 北,简装,一梯三户,无,70年
793,蝶翠华庭,西城 广安门 二至三环,870,万,92152,元/平米,2003年建/塔楼,2室1厅1厨2卫,中楼层 (共29层),94.41㎡,东南 西北,简装,三梯十户,有,70年
794,白纸坊街25号院,西城 右安门内 二环内,725,万,96783,元/平米,1996年建/板楼,2室1厅1厨1卫,底层 (共6层),74.91㎡,东南,简装,一梯三户,无,70年
795,天缘公寓,西城 白纸坊 二环内,960,万,62696,元/平米,2000年建/塔楼,3室1厅1厨2卫,高楼层 (共18层),153.12㎡,东南,精装,两梯十户,有,70年
796,信建里小区,西城 右安门内 二环内,575,万,101126,元/平米,1980年建/板楼,3室1厅1厨1卫,顶层 (共5层),56.86㎡,南 北,简装,一梯三户,无,70年
797,建功北里,西城 白纸坊 二环内,740,万,87111,元/平米,1996年建/板楼,3室1厅1厨1卫,低楼层 (共6层),84.95㎡,东 西,精装,一梯两户,无,70年
798,车公庄大街6号院,西城 阜成门 二至三环,880,万,137286,元/平米,1991年建/塔楼,2室1厅1厨1卫,低楼层 (共18层),64.1㎡,南,简装,两梯八户,有,70年
799,广安苑一期,西城 天宁寺 二至三环,1230,万,108504,元/平米,1999年建/板塔结合,3室2厅1厨1卫,低楼层 (共14层),113.36㎡,东南,精装,两梯三户,有,70年
800,广安门外车站东街,西城 天宁寺 二至三环,627,万,108968,元/平米,1993年建/板楼,2室1厅1厨1卫,高楼层 (共6层),57.54㎡,南 北,精装,一梯四户,无,70年
801,月坛北街25号院,西城 月坛 二至三环,2080,万,130818,元/平米,1997年建/板楼,3室2厅1厨2卫,中楼层 (共6层),159㎡,南 北,精装,一梯两户,无,70年
802,广信嘉园,西城 长椿街 二环内,900,万,80936,元/平米,2002年建/塔楼,2室1厅1厨2卫,高楼层 (共21层),111.2㎡,西南,简装,两梯六户,有,70年
803,如意里,西城 新街口 二环内,948,万,119849,元/平米,1991年建/板楼,3室1厅1厨1卫,中楼层 (共7层),79.1㎡,东 南 北,简装,一梯三户,无,70年
804,宣武门外东大街,西城 宣武门 二环内,780,万,124840,元/平米,1979年建/板楼,3室0厅1厨1卫,中楼层 (共11层),62.48㎡,南 北,精装,一梯五户,有,70年
805,天桥北里,西城 陶然亭 二环内,510,万,92342,元/平米,2002年建/板塔结合,1室1厅1厨1卫,高楼层 (共9层),55.23㎡,西,精装,一梯六户,有,70年
806,小红庙,西城 广安门 二至三环,529,万,96481,元/平米,1981年建/板楼,2室1厅1厨1卫,低楼层 (共6层),54.83㎡,南 北,简装,一梯三户,无,70年
807,红居南街,西城 广安门 二至三环,645,万,93860,元/平米,1980年建/板楼,3室1厅1厨1卫,低楼层 (共6层),68.72㎡,南 北,简装,一梯两户,无,70年
808,四平园,西城 陶然亭 二环内,890,万,126331,元/平米,1996年建/板楼,3室1厅1厨1卫,底层 (共6层),70.45㎡,南 北,其他,一梯两户,无,70年
809,黄寺大街24号院,西城 六铺炕 二至三环,860,万,143334,元/平米,1995年建/板楼,2室1厅1厨1卫,中楼层 (共6层),60㎡,南 北,精装,一梯两户,无,70年
810,椿树园,西城 宣武门 二环内,1250,万,128377,元/平米,1999年建/塔楼,3室1厅1厨1卫,顶层 (共18层),97.37㎡,东南,其他,两梯十二户,有,70年
811,官苑8号,西城 官园 二环内,2900,万,151074,元/平米,2007年建/板塔结合,4室1厅1厨2卫,低楼层 (共16层),191.96㎡,南 北,精装,一梯两户,有,70年
812,手帕口北街,西城 广安门 二至三环,453,万,87723,元/平米,1980年建/板楼,2室1厅1厨1卫,中楼层 (共6层),51.64㎡,东,简装,一梯三户,无,70年
813,北礼士路,西城 官园 二至三环,850,万,108557,元/平米,1999年建/板塔结合,2室1厅1厨1卫,高楼层 (共14层),78.3㎡,西,简装,两梯九户,有,70年
814,天安国汇,西城 西单 二环内,1700,万,85933,元/平米,2008年建/塔楼,3室2厅1厨2卫,中楼层 (共17层),197.83㎡,西南,其他,六梯十四户,有,70年
815,广外南街50号院,西城 天宁寺 二至三环,918,万,95925,元/平米,1999年建/塔楼,3室1厅1厨1卫,高楼层 (共22层),95.7㎡,东 南 北,精装,两梯七户,有,70年
816,育人里小区,西城 右安门内 二环内,649,万,106168,元/平米,1999年建/板楼,2室1厅1厨1卫,底层 (共6层),61.13㎡,西,毛坯,一梯四户,无,70年
817,新风街甲1号,西城 马甸 二至三环,1380,万,142269,元/平米,1998年建/板楼,2室2厅1厨1卫,中楼层 (共14层),97㎡,南,其他,两梯六户,有,70年
818,西便门外大街,西城 木樨地 二至三环,850,万,153347,元/平米,1984年建/板塔结合,2室1厅1厨1卫,中楼层 (共12层),55.43㎡,南,精装,一梯八户,有,70年
819,畅柳园,西城 陶然亭 二环内,700,万,104338,元/平米,2003年建/板塔结合,2室1厅1厨1卫,中楼层 (共16层),67.09㎡,西 北,其他,三梯十四户,有,70年
820,牛街东里,西城 牛街 二环内,545,万,99690,元/平米,1999年建/塔楼,1室1厅1厨1卫,中楼层 (共20层),54.67㎡,南,简装,三梯十二户,有,70年
821,侨办大院,西城 阜成门 二至三环,740,万,121711,元/平米,1991年建/板楼,2室1厅1厨1卫,高楼层 (共6层),60.8㎡,东 西,简装,一梯两户,无,70年
822,六铺炕二区,西城 六铺炕 二至三环,825,万,130127,元/平米,1958年建/板楼,2室1厅1厨1卫,顶层 (共3层),63.4㎡,南 北,其他,一梯三户,无,70年
823,荣丰2008,西城 广安门 二至三环,400,万,117717,元/平米,2006年建/塔楼,1室0厅1厨1卫,中楼层 (共26层),33.98㎡,西,简装,三梯二十七户,有,70年
824,西城晶华,西城 金融街 二环内,1696,万,146056,元/平米,2008年建/板塔结合,2室1厅1厨1卫,中楼层 (共11层),116.12㎡,西北,精装,两梯五户,有,70年
825,禄长街头条19号院,西城 陶然亭 二环内,580,万,97365,元/平米,1996年建/板楼,2室1厅1厨1卫,低楼层 (共6层),59.57㎡,南 北,简装,一梯两户,无,70年
826,中信锦园,西城 陶然亭 二环内,1350,万,141525,元/平米,2009年建/板塔结合,2室1厅1厨1卫,低楼层 (共18层),95.39㎡,南,其他,两梯三户,有,70年
827,考拉社区,西城 菜户营 二至三环,479,万,78745,元/平米,2006年建/塔楼,1室0厅1厨1卫,低楼层 (共21层),60.83㎡,西,简装,四梯十七户,有,70年
828,钟声胡同,西城 西单 二环内,730,万,122484,元/平米,1984年建/板楼,2室1厅1厨1卫,底层 (共6层),59.6㎡,南 北,其他,一梯两户,无,70年
829,小石桥胡同3号院,西城 六铺炕 二环内,805,万,146631,元/平米,1989年建/板楼,2室1厅1厨1卫,高楼层 (共6层),54.9㎡,南 北,精装,一梯三户,无,70年
830,广华轩,西城 广安门 二至三环,850,万,71489,元/平米,2000年建/塔楼,2室2厅1厨1卫,低楼层 (共24层),118.9㎡,西南,精装,两梯八户,有,70年
831,月坛北街,西城 月坛 二至三环,640,万,123315,元/平米,1972年建/板楼,2室1厅1厨1卫,顶层 (共5层),51.9㎡,南 北,简装,一梯三户,无,70年
832,海格国际,西城 宣武门 二环内,999,万,82508,元/平米,2005年建/塔楼,2室2厅1厨2卫,高楼层 (共19层),121.08㎡,东南 南,简装,两梯二十户,有,70年
833,依莲轩,西城 马连道 二至三环,595,万,85686,元/平米,2000年建/塔楼,1室1厅1厨1卫,高楼层 (共26层),69.44㎡,东,简装,两梯十户,有,70年
