,小区名称,所在区域,房屋年代,户型,楼层,建筑面积,房屋朝向,装修情况,梯户比例,配备电梯,产权年限,位置名称,总价(万),单价(元/平米),建筑类型,楼层总数
110,新外大街18号,二至三环,1990,2室1厅1厨1卫,顶层 ,60.3㎡,西南,简装,两梯七户,有,70年,德胜门,865.0,143450,塔楼,18
111,远雄大观,二环内,2009,1室1厅1厨1卫,顶层 ,61.36㎡,西,精装,一梯四户,有,70年,右安门内,660.0,107562,板楼,6
112,兴隆街1号院,二环内,1979,3室1厅1厨1卫,底层 ,53.5㎡,南 北,简装,一梯三户,暂无数据,70年,西单,710.0,132711,板楼,4
113,太平仓胡同,二环内,1991,2室1厅1厨1卫,低楼层 ,67.8㎡,东 西,简装,一梯两户,暂无数据,70年,西四,1050.0,154868,板楼,6
114,天宁寺前街南里,二至三环,1992,2室2厅1厨1卫,高楼层 ,78.52㎡,南 北,精装,一梯两户,无,70年,天宁寺,675.0,85966,板楼,6
115,南线阁,二环内,1989,2室1厅1厨1卫,高楼层 ,63.87㎡,南,简装,两梯八户,有,70年,牛街,580.0,90810,塔楼,16
116,马连道路5号院,二至三环,2001,2室1厅1厨1卫,低楼层 ,73.88㎡,东,精装,一梯三户,无,70年,马连道,550.0,74446,板楼,6
117,榆树馆西里,二至三环,1987,1室1厅1厨1卫,中楼层 ,45.8㎡,南,精装,两梯六户,有,70年,车公庄,545.0,118996,塔楼,18
118,复兴门南大街,二至三环,1984,2室1厅1厨1卫,低楼层 ,65.5㎡,西南,简装,两梯八户,有,70年,木樨地,990.0,151146,塔楼,16
119,圣都大厦,二环内,2001,3室1厅1厨2卫,高楼层 ,160.36㎡,南 北,精装,两梯十二户,有,70年,右安门内,1040.0,64855,塔楼,20
120,新街口东街,二环内,1988,3室1厅1厨1卫,底层 ,78㎡,南 西 北,精装,一梯三户,无,70年,德胜门,1080.0,138462,板楼,6
121,荣丰2008,二至三环,2008,1室0厅1厨1卫,低楼层 ,59.86㎡,北,精装,三梯二十一户,有,70年,广安门,460.0,76846,塔楼,20
122,玉桃园一区,二环内,1994,3室2厅1厨2卫,底层 ,100.9㎡,南 北,精装,一梯两户,无,70年,西直门,1200.0,118930,板楼,6
123,陶然北岸,二环内,2004,2室1厅1厨2卫,高楼层 ,101.25㎡,南 北,简装,两梯四户,有,70年,陶然亭,1265.0,124939,板塔结合,18
124,百万庄丑区,二至三环,1954,3室1厅1厨1卫,底层 ,73㎡,南 北,简装,一梯两户,暂无数据,70年,阜成门,805.0,110274,板楼,3
125,乐城,二至三环,2005,2室1厅1厨1卫,中楼层 ,96.39㎡,东,精装,三梯十二户,有,70年,菜户营,730.0,75734,塔楼,24
126,报国寺东夹道1号西院,二环内,1980,2室1厅1厨1卫,中楼层 ,54.24㎡,南 北,简装,一梯三户,无,70年,长椿街,560.0,103245,板楼,5
127,白纸坊西街,二环内,2004,1室1厅1厨1卫,高楼层 ,57.95㎡,西南,简装,三梯十二户,有,70年,右安门内,550.0,94910,塔楼,18
128,乐城,二至三环,2004,3室2厅1厨1卫,中楼层 ,119.54㎡,东南 北,精装,三梯十三户,有,70年,菜户营,920.0,76962,板塔结合,24
129,椿树园,二环内,1999,3室2厅1厨1卫,高楼层 ,115.35㎡,东 西 北,简装,一梯两户,有,70年,宣武门,1086.0,94149,板塔结合,14
130,阜成门南大街,二至三环,1992,2室1厅1厨1卫,低楼层 ,50.7㎡,东,精装,两梯十户,有,70年,月坛,620.0,122288,塔楼,20
131,月坛北小街,二至三环,1993,2室1厅1厨1卫,低楼层 ,55.5㎡,南 北,简装,一梯两户,无,70年,月坛,678.0,122163,板楼,6
132,百万庄南街,二至三环,1996,3室1厅1厨1卫,中楼层 ,95.2㎡,南 北,简装,一梯三户,无,70年,阜成门,1110.0,116597,板楼,5
133,新风南里,二至三环,1996,1室1厅1厨1卫,顶层 ,62.6㎡,南 北,精装,一梯两户,无,70年,马甸,755.0,120608,板楼,6
134,新外大街28号院,二至三环,1981,2室1厅1厨1卫,中楼层 ,54.2㎡,南 北,简装,一梯三户,无,70年,德胜门,850.0,156827,板楼,5
135,前桃园1号,二环内,1984,1室1厅1厨1卫,低楼层 ,44.1㎡,东 西,精装,一梯四户,无,70年,西直门,528.0,119728,板楼,6
